"gametime","platformgameid","teamid"
"838083","ESPORTSTMNT02:2555406","100"
"710136","ESPORTSTMNT06:1031189","200"
"775740","ESPORTSTMNT03:1757918","200"
"738541","ESPORTSTMNT02:1115837","100"
"1307281","ESPORTSTMNT01:1880812","200"
"868462","ESPORTSTMNT06:2340399","200"
"862813","ESPORTSTMNT05:2760434","100"
"1030925","ESPORTSTMNT06:2510187","100"
"1149500","ESPORTSTMNT02:2670281","200"
"889494","ESPORTSTMNT03:3186254","200"
"745727","ESPORTSTMNT04:1670408","200"
"759359","ESPORTSTMNT03:2655411","100"
"943196","ESPORTSTMNT06:1680347","100"
"956832","ESPORTSTMNT01:3329406","100"
"1821143","ESPORTSTMNT06:1160490","200"
"1092184","ESPORTSTMNT05:1971580","100"
"1524316","ESPORTSTMNT05:2520507","200"
"867276","ESPORTSTMNT04:1600112","100"
"886942","ESPORTSTMNT02:1696960","200"
"1307798","ESPORTSTMNT05:2980705","100"
"567105","ESPORTSTMNT06:1170046","200"
"942561","ESPORTSTMNT02:1697447","200"
"862171","ESPORTSTMNT06:2773324","100"
"1278401","ESPORTSTMNT03:2651558","200"
"857463","ESPORTSTMNT01:1325041","200"
"1009658","ESPORTSTMNT01:3330566","100"
"1143908","ESPORTSTMNT01:3384137","200"
"1341055","ESPORTSTMNT01:3388051","200"
"1000429","ESPORTSTMNT03:2071249","100"
"982796","ESPORTSTMNT05:1870401","200"
"686049","ESPORTSTMNT03:2053897","200"
"982989","ESPORTSTMNT01:1436453","200"
"868369","ESPORTSTMNT01:2800267","100"
"714025","ESPORTSTMNT03:1673830","200"
"911920","ESPORTSTMNT03:2564408","200"
"633958","ESPORTSTMNT03:2580134","100"
"670010","ESPORTSTMNT03:2714434","200"
"817327","ESPORTSTMNT03:3089153","200"
"858923","ESPORTSTMNT02:1403233","100"
"1132322","ESPORTSTMNT01:3294114","100"
"1292389","ESPORTSTMNT01:3373407","100"
"1063520","ESPORTSTMNT02:2672269","200"
"605924","ESPORTSTMNT01:2694837","100"
"931081","ESPORTSTMNT04:1960857","200"
"908418","ESPORTSTMNT01:3340050","100"
"964081","ESPORTSTMNT01:2697288","200"
"858703","ESPORTSTMNT03:3185888","100"
"837862","ESPORTSTMNT01:3344136","200"
"660338","ESPORTSTMNT03:1552298","200"
"1182000","ESPORTSTMNT01:3410246","200"
"843142","ESPORTSTMNT05:1440444","200"
"557587","ESPORTSTMNT02:2558129","200"
"877657","ESPORTSTMNT04:2450994","200"
"1120320","ESPORTSTMNT01:1882184","100"
"591789","ESPORTSTMNT05:2680220","100"
"910909","ESPORTSTMNT01:1434795","200"
"1057377","ESPORTSTMNT01:3307082","200"
"556113","ESPORTSTMNT06:1510288","200"
"926608","ESPORTSTMNT02:1294934","200"
"814744","ESPORTSTMNT01:2142388","100"
"1039007","ESPORTSTMNT06:2460304","200"
"1080841","ESPORTSTMNT03:1341618","200"
"921746","ESPORTSTMNT04:2686611","100"
"1038323","ESPORTSTMNT03:1115116","200"
"773417","ESPORTSTMNT02:3170519","200"
"787700","ESPORTSTMNT02:1682742","200"
"972757","ESPORTSTMNT01:1424300","200"
"1017261","ESPORTSTMNT01:3339016","200"
"869903","ESPORTSTMNT01:2773202","100"
"803076","ESPORTSTMNT03:3165002","200"
"1368078","ESPORTSTMNT02:2810806","100"
"922091","ESPORTSTMNT01:3303746","100"
"785739","ESPORTSTMNT02:1330868","100"
"958675","ESPORTSTMNT05:2060131","200"
"779256","ESPORTSTMNT02:2575912","100"
"899157","ESPORTSTMNT01:2745429","100"
"774308","ESPORTSTMNT01:2703103","200"
"856702","ESPORTSTMNT03:3188146","100"
"732629","ESPORTSTMNT04:2691177","100"
"799770","ESPORTSTMNT05:3223070","200"
"907959","ESPORTSTMNT04:1670364","100"
"805649","ESPORTSTMNT03:3124229","200"
"930976","ESPORTSTMNT05:1440383","100"
"1061040","ESPORTSTMNT01:3365747","200"
"919030","ESPORTSTMNT03:3190206","200"
"1099313","ESPORTSTMNT05:2950952","100"
"919521","ESPORTSTMNT02:3156134","200"
"829211","ESPORTSTMNT05:1400560","100"
"1519208","ESPORTSTMNT03:3103190","200"
"1267753","ESPORTSTMNT02:1721438","200"
"857115","ESPORTSTMNT01:3322795","100"
"1106019","ESPORTSTMNT04:2672234","200"
"826902","ESPORTSTMNT02:1405437","200"
"958420","ESPORTSTMNT04:2090784","200"
"757545","ESPORTSTMNT06:1190937","200"
"603344","ESPORTSTMNT03:2073036","100"
"894340","ESPORTSTMNT03:2784187","100"
"984951","ESPORTSTMNT03:2070649","200"
"1472749","ESPORTSTMNT02:1733188","200"
"629702","ESPORTSTMNT02:1696561","100"
"868534","ESPORTSTMNT06:2777049","200"
"773314","ESPORTSTMNT01:1434878","100"
"869599","ESPORTSTMNT03:2794070","200"
"448903","ESPORTSTMNT03:2542716","100"
"909563","ESPORTSTMNT03:1757821","200"
"785109","ESPORTSTMNT02:2073696","100"
"1125679","ESPORTSTMNT06:1071398","100"
"965767","ESPORTSTMNT04:1961427","200"
"870885","ESPORTSTMNT06:1830833","200"
"748173","ESPORTSTMNT02:2073286","100"
"713316","ESPORTSTMNT03:2561961","200"
"845554","ESPORTSTMNT06:2774857","200"
"1011565","ESPORTSTMNT02:2820416","200"
"986829","ESPORTSTMNT03:2568472","200"
"848909","ESPORTSTMNT01:2136290","200"
"925054","ESPORTSTMNT06:2774995","100"
"1024703","ESPORTSTMNT03:1751146","200"
"784677","ESPORTSTMNT02:1934766","200"
"1292854","ESPORTSTMNT03:2796903","100"
"825957","ESPORTSTMNT02:2971588","200"
"678112","ESPORTSTMNT03:1995345","200"
"1313852","ESPORTSTMNT03:2713476","100"
"1386519","ESPORTSTMNT04:2210427","200"
"1075407","ESPORTSTMNT01:2906264","100"
"1023300","ESPORTSTMNT03:3091208","200"
"1022605","ESPORTSTMNT02:2576579","200"
"818771","ESPORTSTMNT04:2679020","100"
"852879","ESPORTSTMNT06:2823281","200"
"901139","ESPORTSTMNT02:2674168","200"
"900384","ESPORTSTMNT06:1680136","200"
"1126115","ESPORTSTMNT03:1757588","200"
"854794","ESPORTSTMNT03:3190566","200"
"912883","ESPORTSTMNT03:2798782","100"
"1008297","ESPORTSTMNT02:3170420","200"
"850303","ESPORTSTMNT03:3166445","100"
"769378","ESPORTSTMNT03:2130185","200"
"926091","ESPORTSTMNT02:2671470","100"
"1037806","ESPORTSTMNT01:2135295","200"
"807149","ESPORTSTMNT03:1121577","100"
"944807","ESPORTSTMNT05:3222338","100"
"966363","ESPORTSTMNT03:1351811","200"
"728636","ESPORTSTMNT01:1896620","100"
"1381453","ESPORTSTMNT03:3089855","100"
"904531","ESPORTSTMNT03:1760955","100"
"808723","LPL_B:326781","100"
"909190","ESPORTSTMNT03:2930540","100"
"908919","ESPORTSTMNT02:1322823","200"
"960062","ESPORTSTMNT02:2578276","100"
"886745","ESPORTSTMNT01:1301169","200"
"784626","ESPORTSTMNT02:2064878","200"
"1082150","LPL_A:343342","100"
"998111","ESPORTSTMNT04:980198","200"
"833049","ESPORTSTMNT03:3103053","200"
"1421949","ESPORTSTMNT01:1887241","100"
"923022","ESPORTSTMNT02:2075848","100"
"901530","ESPORTSTMNT05:3219527","100"
"1006472","ESPORTSTMNT06:2761192","100"
"841329","ESPORTSTMNT03:2883973","200"
"1134839","ESPORTSTMNT02:3171112","200"
"1067023","ESPORTSTMNT04:2690613","100"
"925329","ESPORTSTMNT01:2704900","100"
"1035789","ESPORTSTMNT04:1000326","100"
"734957","ESPORTSTMNT01:1155681","200"
"639130","ESPORTSTMNT02:3190513","200"
"978403","ESPORTSTMNT03:1125069","200"
"803449","ESPORTSTMNT03:2542779","200"
"1531025","LPL_A:335841","200"
"1050277","ESPORTSTMNT02:1934079","200"
"767161","ESPORTSTMNT02:1650970","100"
"733601","ESPORTSTMNT02:2912550","100"
"981031","ESPORTSTMNT02:3220327","200"
"864907","ESPORTSTMNT01:2703056","100"
"891739","ESPORTSTMNT01:3308842","200"
"621311","ESPORTSTMNT01:1424337","200"
"776130","ESPORTSTMNT01:1895691","200"
"1279234","ESPORTSTMNT01:2250151","200"
"1373501","ESPORTSTMNT03:3190187","100"
"810896","ESPORTSTMNT02:2781622","200"
"929630","ESPORTSTMNT01:3405597","200"
"919549","ESPORTSTMNT01:1131058","200"
"652712","ESPORTSTMNT02:2781221","200"
"629732","ESPORTSTMNT03:1432171","100"
"1003811","ESPORTSTMNT04:2410602","100"
"884589","ESPORTSTMNT02:3170603","100"
"862382","ESPORTSTMNT01:2740830","100"
"855007","ESPORTSTMNT04:2690738","100"
"953031","ESPORTSTMNT03:1755374","100"
"870950","ESPORTSTMNT03:2561021","100"
"975664","ESPORTSTMNT03:2093991","100"
"969907","ESPORTSTMNT04:1660592","100"
"577300","ESPORTSTMNT01:2240125","100"
"803152","ESPORTSTMNT04:1800864","100"
"991145","ESPORTSTMNT03:1441943","100"
"832615","ESPORTSTMNT05:1971416","200"
"649986","ESPORTSTMNT01:2905447","200"
"1101773","ESPORTSTMNT02:3227904","100"
"857213","ESPORTSTMNT04:1880450","100"
"948551","ESPORTSTMNT03:1343345","200"
"1221476","ESPORTSTMNT03:2549532","100"
"1080146","ESPORTSTMNT04:2130269","200"
"852578","ESPORTSTMNT02:3211790","100"
"1012107","ESPORTSTMNT03:1552620","200"
"1470509","ESPORTSTMNT03:3088304","200"
"661111","ESPORTSTMNT01:2572844","200"
"753509","ESPORTSTMNT06:1062065","200"
"795184","ESPORTSTMNT04:2130325","200"
"951636","ESPORTSTMNT03:3165687","200"
"935674","ESPORTSTMNT05:1971201","100"
"749508","ESPORTSTMNT05:1540082","200"
"536722","ESPORTSTMNT02:2674554","200"
"569928","ESPORTSTMNT02:3158194","200"
"764307","ESPORTSTMNT05:2580363","200"
"975407","ESPORTSTMNT06:1581149","100"
"1036235","ESPORTSTMNT06:1860052","100"
"775129","ESPORTSTMNT01:2770122","200"
"910086","ESPORTSTMNT03:3125368","100"
"840116","ESPORTSTMNT03:1991520","100"
"1072848","ESPORTSTMNT06:2818308","100"
"1163264","ESPORTSTMNT02:2774511","200"
"726870","ESPORTSTMNT04:1890091","200"
"954541","ESPORTSTMNT03:1331951","200"
"763217","ESPORTSTMNT01:3387074","100"
"906420","ESPORTSTMNT02:3163473","200"
"1023218","ESPORTSTMNT01:1431514","200"
"800804","ESPORTSTMNT03:2782933","100"
"929256","ESPORTSTMNT05:1430677","200"
"746299","ESPORTSTMNT06:2774912","200"
"1145346","ESPORTSTMNT03:2562163","200"
"1013620","ESPORTSTMNT06:2190591","200"
"881519","ESPORTSTMNT05:2530794","100"
"669611","ESPORTSTMNT02:2558593","200"
"1036229","ESPORTSTMNT02:2557993","100"
"888751","ESPORTSTMNT03:2830004","200"
"1074246","ESPORTSTMNT03:3185647","100"
"1282855","ESPORTSTMNT02:2070504","100"
"915901","ESPORTSTMNT06:1840322","200"
"859222","ESPORTSTMNT03:2892519","200"
"906195","ESPORTSTMNT06:2822181","100"
"1000118","ESPORTSTMNT03:1121621","200"
"893875","ESPORTSTMNT02:1970315","100"
"823519","ESPORTSTMNT04:1010566","200"
"978136","ESPORTSTMNT04:2471359","200"
"894627","ESPORTSTMNT06:2774262","200"
"1134107","ESPORTSTMNT01:3308067","100"
"928366","ESPORTSTMNT04:2690331","200"
"1420802","ESPORTSTMNT04:2280105","100"
"1071999","ESPORTSTMNT03:3131781","200"
"1166254","ESPORTSTMNT01:1891991","200"
"974008","ESPORTSTMNT01:2144390","100"
"1056759","ESPORTSTMNT02:2210080","100"
"1077244","ESPORTSTMNT04:2667116","200"
"985173","ESPORTSTMNT01:3322559","200"
"1006804","ESPORTSTMNT01:3376215","200"
"1500123","ESPORTSTMNT03:2893448","100"
"778930","ESPORTSTMNT04:1130696","200"
"898986","ESPORTSTMNT04:2674968","100"
"909876","ESPORTSTMNT02:3214098","200"
"931328","ESPORTSTMNT02:2151709","100"
"733077","ESPORTSTMNT04:2689377","100"
"1110851","LPL_B:329720","200"
"639301","ESPORTSTMNT03:1392549","200"
"1240945","ESPORTSTMNT01:2696601","100"
"910988","ESPORTSTMNT01:3332848","100"
"1086200","ESPORTSTMNT04:2672640","100"
"717057","ESPORTSTMNT02:3142154","200"
"888533","ESPORTSTMNT03:3187069","200"
"963726","ESPORTSTMNT01:3338895","100"
"842351","ESPORTSTMNT05:2560484","200"
"753329","ESPORTSTMNT01:1153341","200"
"641724","ESPORTSTMNT01:2781816","200"
"960649","ESPORTSTMNT04:1491159","200"
"958719","ESPORTSTMNT03:2563523","200"
"908672","ESPORTSTMNT04:2451657","200"
"788331","ESPORTSTMNT03:2830555","200"
"626321","ESPORTSTMNT01:2734502","200"
"542611","ESPORTSTMNT03:2651460","100"
"905005","ESPORTSTMNT01:2250701","100"
"963516","ESPORTSTMNT06:2773166","200"
"865801","ESPORTSTMNT05:3090778","200"
"899495","LPL_B:329133","100"
"696963","ESPORTSTMNT03:3100617","100"
"744342","ESPORTSTMNT04:990469","100"
"752457","ESPORTSTMNT02:3221010","200"
"902624","ESPORTSTMNT03:3178793","200"
"633201","ESPORTSTMNT05:1400095","100"
"734518","ESPORTSTMNT01:1325077","200"
"929071","ESPORTSTMNT06:2767368","200"
"923783","ESPORTSTMNT03:3111569","200"
"1103009","ESPORTSTMNT05:2942372","100"
"1198259","ESPORTSTMNT01:3338344","100"
"945512","ESPORTSTMNT02:3169592","200"
"1211192","ESPORTSTMNT06:2775305","200"
"797659","ESPORTSTMNT06:1050032","100"
"897610","ESPORTSTMNT01:2903247","200"
"891760","ESPORTSTMNT05:2580484","100"
"945162","ESPORTSTMNT01:2781745","100"
"926699","ESPORTSTMNT04:2689357","200"
"760875","LPL_A:335744","100"
"1072489","ESPORTSTMNT02:2650478","200"
"892715","ESPORTSTMNT01:2146734","200"
"997584","ESPORTSTMNT03:2931142","100"
"1731007","ESPORTSTMNT03:3193440","100"
"1149701","ESPORTSTMNT03:3184341","200"
"856903","ESPORTSTMNT05:2980774","200"
"1355092","ESPORTSTMNT03:2712615","100"
"1414363","ESPORTSTMNT03:2792837","100"
"823728","ESPORTSTMNT01:2731935","100"
"918914","ESPORTSTMNT04:2685686","100"
"923948","ESPORTSTMNT05:2070328","200"
"662309","ESPORTSTMNT02:2673017","100"
"709903","ESPORTSTMNT06:2260145","200"
"1025102","ESPORTSTMNT02:1694934","100"
"925857","ESPORTSTMNT02:2671107","100"
"839014","ESPORTSTMNT03:3178226","100"
"888605","LPL_A:342673","100"
"1103997","ESPORTSTMNT06:2818325","100"
"740089","ESPORTSTMNT05:3060539","100"
"1035507","ESPORTSTMNT01:3408529","100"
"898711","ESPORTSTMNT06:1880910","200"
"688802","ESPORTSTMNT01:1891069","100"
"727431","ESPORTSTMNT05:2531007","200"
"1352070","ESPORTSTMNT02:2065932","200"
"778672","ESPORTSTMNT03:2566469","100"
"815206","ESPORTSTMNT03:2883871","200"
"802762","ESPORTSTMNT01:1295834","200"
"1258492","ESPORTSTMNT03:2569481","100"
"870508","ESPORTSTMNT01:1155831","200"
"914810","ESPORTSTMNT01:3341983","200"
"1030339","ESPORTSTMNT04:1880287","100"
"939860","ESPORTSTMNT03:1766115","200"
"1074545","ESPORTSTMNT04:2451186","200"
"828609","ESPORTSTMNT06:1580803","200"
"1044432","ESPORTSTMNT06:1860593","100"
"1006601","ESPORTSTMNT01:3309951","200"
"931373","ESPORTSTMNT04:1970668","200"
"894486","ESPORTSTMNT01:3309506","200"
"963153","ESPORTSTMNT03:2894535","100"
"927636","ESPORTSTMNT04:2471329","200"
"626222","LPL_B:328304","200"
"888311","ESPORTSTMNT02:3208604","200"
"990178","ESPORTSTMNT02:1735573","200"
"889833","ESPORTSTMNT03:2796102","100"
"780309","ESPORTSTMNT03:1414571","200"
"980565","ESPORTSTMNT06:1880345","100"
"825673","ESPORTSTMNT04:1960720","200"
"904837","ESPORTSTMNT01:3333488","100"
"897569","ESPORTSTMNT05:2060704","200"
"922227","ESPORTSTMNT03:3093310","200"
"740689","ESPORTSTMNT01:2139136","100"
"1136302","ESPORTSTMNT03:2798840","100"
"973723","ESPORTSTMNT03:3127554","100"
"747170","ESPORTSTMNT01:1144492","200"
"935532","ESPORTSTMNT06:2821272","200"
"1158162","ESPORTSTMNT03:3114711","100"
"967462","ESPORTSTMNT01:3294629","100"
