gametime_inhib,platformgameid,killerteamid_inhib,gametime_tower,killerteamid_tower,gametime_kill,killerteamid_kill,eventtime,blue_teamid,esportsgameid,red_teamid,gametime,blue_team_shutdown,red_team_shutdown,blue_shutdown_collected,red_shutdown_collected,blue_shutdown_converted,red_shutdown_converted
1591696,ESPORTSTMNT01:1310842,100,755269,100,274459,100,2020-03-13T05:16:50.558Z,98767991921462763,103535402770536790,99566406332122275,705490,2150.0,0.0,0.0,0.0,0.0,0.0
2520557,ESPORTSTMNT01:1310866,100,840724,200,423171,200,2020-03-13T07:17:46.390Z,99566406332122275,103535402770536772,101383792891050518,1056752,2750.0,1250.0,0.0,0.0,0.0,0.0
1982488,ESPORTSTMNT01:1310892,200,608609,100,568211,100,2020-03-13T08:29:27.072Z,99566406332987990,103535402770536804,99566406334639907,917488,900.0,250.0,0.0,0.0,0.0,0.0
2561230,ESPORTSTMNT01:1313641,200,962342,200,381466,200,2020-03-20T19:08:34.415Z,99566405129589291,103462454882440906,99566405124618295,1367952,650.0,1250.0,0.0,0.0,0.0,0.0
1890504,ESPORTSTMNT01:1313662,100,978916,200,218111,100,2020-03-20T20:25:03.986Z,103461966971048042,103462454882440842,103461966981927044,1574820,2100.0,100.0,0.0,0.0,0.0,0.0
1399410,ESPORTSTMNT01:1313692,200,885892,200,149676,200,2020-03-20T21:17:39.362Z,99566405123587075,103462454882440898,99566405130451785,595875,350.0,650.0,0.0,0.0,0.0,0.0
1530409,ESPORTSTMNT01:1313707,100,767153,100,189408,100,2020-03-20T22:01:29.459Z,99566405128626825,103462454882440912,99566405126602853,1533395,1150.0,0.0,0.0,0.0,0.0,0.0
2013892,ESPORTSTMNT01:1313713,200,833657,100,179073,200,2020-03-20T22:48:21.107Z,103461966975897718,103462454882440866,99566405127798575,529698,550.0,800.0,0.0,0.0,0.0,0.0
1928934,ESPORTSTMNT01:1313781,100,754026,200,305480,100,2020-03-21T04:24:14.527Z,101428372602011186,103540398665570568,101428372607057464,1392464,950.0,50.0,0.0,0.0,0.0,0.0
1684055,ESPORTSTMNT01:1313804,200,884795,100,168367,100,2020-03-21T05:11:12.025Z,99566406332987990,103535402770536854,99566406332122275,504412,1000.0,250.0,0.0,0.0,0.0,0.0
