"eventtime","platformgameid"
"2023-02-19T19:01:33.794Z","ESPORTSTMNT01:3317951"
"2020-04-16T08:13:19.780Z","ESPORTSTMNT03:1351811"
"2020-08-14T07:04:59.398Z","ESPORTSTMNT03:1430715"
"2023-07-11T18:09:04.805Z","ESPORTSTMNT06:2819595"
"2023-03-03T05:06:20.595Z","ESPORTSTMNT03:3114238"
"2022-06-23T06:07:37.759Z","ESPORTSTMNT03:2784722"
"2023-02-13T01:38:42.347Z","ESPORTSTMNT01:3314352"
"2021-07-29T20:22:16.437Z","ESPORTSTMNT06:1880153"
"2022-03-03T05:09:38.384Z","ESPORTSTMNT01:2744736"
"2020-06-13T18:16:01.436Z","ESPORTSTMNT01:1414048"
"2022-10-08T23:19:30.618Z","ESPORTSTMNT02:3045472"
"2022-08-29T18:30:31.021Z","ESPORTSTMNT05:3090514"
"2021-02-25T18:06:45.250Z","ESPORTSTMNT06:1571183"
"2022-03-23T20:15:41.351Z","ESPORTSTMNT03:2632576"
"2020-02-08T12:34:57.593Z","ESPORTSTMNT01:1304169"
"2019-07-19T08:18:00.667Z","ESPORTSTMNT03:1127370"
"2022-02-26T17:01:21.972Z","ESPORTSTMNT04:2170273"
"2022-07-13T21:51:46.845Z","ESPORTSTMNT05:2941567"
"2020-09-30T06:11:38.682Z","ESPORTSTMNT03:1531478"
"2022-09-06T17:34:04.496Z","ESPORTSTMNT05:3090756"
"2020-08-13T20:06:34.383Z","ESPORTSTMNT03:1430652"
"2021-07-12T16:03:44.040Z","ESPORTSTMNT02:2070486"
"2022-07-15T14:59:04.003Z","ESPORTSTMNT05:2952343"
"2021-09-04T13:28:25.748Z","ESPORTSTMNT06:1881512"
"2022-02-22T18:04:43.126Z","ESPORTSTMNT03:2548943"
"2021-02-02T18:36:15.315Z","ESPORTSTMNT02:1683639"
"2023-03-10T20:01:26.921Z","ESPORTSTMNT06:2773399"
"2021-08-05T13:47:14.109Z","ESPORTSTMNT03:2053987"
"2020-07-25T06:12:07.442Z","ESPORTSTMNT01:1424591"
"2021-06-16T18:03:35.608Z","ESPORTSTMNT03:1962027"
"2022-01-10T20:26:09.373Z","ESPORTSTMNT01:2700475"
"2022-06-24T21:22:31.570Z","ESPORTSTMNT06:2470599"
"2021-09-03T22:09:12.262Z","ESPORTSTMNT02:2150502"
"2022-02-18T23:52:00.288Z","ESPORTSTMNT03:2566389"
"2023-02-04T17:05:03.182Z","ESPORTSTMNT06:2769830"
"2021-02-11T00:10:49.274Z","ESPORTSTMNT03:1710766"
"2022-06-08T23:47:11.718Z","ESPORTSTMNT02:2776478"
"2019-08-16T08:18:44.822Z","ESPORTSTMNT02:1103762"
"2021-01-15T09:06:16.300Z","ESPORTSTMNT01:1691048"
"2020-08-26T15:57:04.143Z","ESPORTSTMNT06:1310562"
"2022-03-22T23:39:22.271Z","ESPORTSTMNT03:2652318"
"2022-03-22T15:59:01.446Z","ESPORTSTMNT05:2600006"
"2021-12-01T13:06:20.770Z","ESPORTSTMNT02:2344323"
"2021-03-08T17:11:24.694Z","ESPORTSTMNT01:1895436"
"2021-03-04T21:27:16.654Z","ESPORTSTMNT01:1893482"
"2022-07-31T12:07:45.289Z","ESPORTSTMNT03:2885194"
"2021-02-24T22:57:16.194Z","ESPORTSTMNT03:1756959"
"2023-03-12T01:44:32.186Z","ESPORTSTMNT06:2775486"
"2022-02-09T21:38:43.550Z","ESPORTSTMNT02:2558003"
"2022-02-10T04:21:44.543Z","ESPORTSTMNT05:2521011"
"2020-09-09T18:34:06.641Z","ESPORTSTMNT04:1290183"
"2021-07-26T01:08:13.881Z","ESPORTSTMNT02:2076583"
"2020-09-09T08:06:56.857Z","ESPORTSTMNT03:1443715"
"2021-07-08T19:31:30.170Z","ESPORTSTMNT04:1810768"
"2022-07-26T15:02:02.245Z","ESPORTSTMNT06:2540889"
"2021-05-08T16:07:48.818Z","ESPORTSTMNT06:1720421"
"2021-02-27T11:06:20.361Z","ESPORTSTMNT04:1520452"
"2022-10-17T00:23:14.614Z","ESPORTSTMNT02:3047898"
"2022-07-01T15:09:26.090Z","ESPORTSTMNT04:2410250"
"2021-03-30T23:19:48.944Z","ESPORTSTMNT03:1822703"
"2023-04-08T12:22:04.409Z","ESPORTSTMNT02:3187947"
"2023-02-21T18:20:21.957Z","ESPORTSTMNT05:3217246"
"2023-07-01T01:52:32.933Z","ESPORTSTMNT02:3216484"
"2020-09-16T19:30:06.427Z","ESPORTSTMNT04:1320042"
"2021-07-03T15:22:40.444Z","ESPORTSTMNT01:2133534"
"2023-02-23T18:05:39.835Z","ESPORTSTMNT02:3162480"
"2019-06-14T12:27:16.574Z","ESPORTSTMNT01:1133822"
"2023-08-03T01:26:52.179Z","ESPORTSTMNT01:3408097"
"2020-02-21T15:58:38.325Z","ESPORTSTMNT05:1410712"
"2022-08-21T23:11:38.780Z","ESPORTSTMNT02:2971617"
"2021-08-07T09:10:28.097Z","ESPORTSTMNT03:2054737"
"2019-07-27T12:59:39.345Z","ESPORTSTMNT01:1162529"
"2021-06-29T18:52:58.929Z","ESPORTSTMNT06:1830974"
"2022-02-16T17:56:59.677Z","ESPORTSTMNT06:2190575"
"2021-03-30T16:24:57.275Z","ESPORTSTMNT06:1690307"
"2022-02-02T01:02:31.167Z","ESPORTSTMNT02:2573926"
"2022-02-05T02:32:29.790Z","ESPORTSTMNT02:2555559"
"2023-04-13T18:58:27.850Z","ESPORTSTMNT05:3223055"
"2023-03-07T07:09:43.068Z","ESPORTSTMNT03:3122015"
"2021-06-15T16:55:46.846Z","ESPORTSTMNT05:2020030"
"2023-02-24T08:55:11.962Z","ESPORTSTMNT02:3160975"
"2021-08-08T17:55:45.929Z","ESPORTSTMNT06:1860586"
