"gametime","platformgameid","killerteamid"
"454265","ESPORTSTMNT01:3331595","100"
"792314","ESPORTSTMNT03:1415688","100"
"380156","ESPORTSTMNT06:1040496","100"
"1292309","ESPORTSTMNT03:1994908","200"
"291587","ESPORTSTMNT03:3200168","200"
"211546","ESPORTSTMNT05:2942535","100"
"353762","ESPORTSTMNT05:2750360","200"
"40105","ESPORTSTMNT02:3169138","100"
"303165","ESPORTSTMNT02:2662607","100"
"304805","ESPORTSTMNT01:3091236","100"
"726044","ESPORTSTMNT04:2220201","100"
"222576","ESPORTSTMNT04:2687570","200"
"286963","ESPORTSTMNT03:2921427","200"
"240104","ESPORTSTMNT01:2030655","200"
"196937","ESPORTSTMNT02:2671483","100"
"327835","ESPORTSTMNT01:2137369","100"
"194297","ESPORTSTMNT03:2894088","200"
"1042722","ESPORTSTMNT06:2542306","100"
"470369","ESPORTSTMNT01:2965142","100"
"230828","ESPORTSTMNT06:2822410","200"
"446080","ESPORTSTMNT01:2690439","100"
"240355","ESPORTSTMNT05:2531007","100"
"220776","ESPORTSTMNT04:2683130","200"
"685925","ESPORTSTMNT01:2697897","200"
"187078","ESPORTSTMNT05:1870712","100"
"476328","ESPORTSTMNT05:1971609","200"
"512001","ESPORTSTMNT04:1290185","200"
"801552","ESPORTSTMNT02:1413927","100"
"708837","ESPORTSTMNT04:2670495","100"
"401400","ESPORTSTMNT02:3211729","100"
"607523","ESPORTSTMNT02:3221546","100"
"247471","ESPORTSTMNT06:2532123","100"
"346383","ESPORTSTMNT01:1890214","100"
"102892","ESPORTSTMNT06:1830975","100"
"396458","ESPORTSTMNT02:1091224","100"
"223609","ESPORTSTMNT02:2810206","100"
"803968","ESPORTSTMNT03:1813752","200"
"505405","ESPORTSTMNT04:2140186","100"
"219972","ESPORTSTMNT06:1690291","100"
"350149","ESPORTSTMNT03:3116278","100"
"217916","ESPORTSTMNT02:2073223","100"
"226726","ESPORTSTMNT04:2220320","200"
"531063","ESPORTSTMNT02:1926385","100"
"510775","ESPORTSTMNT03:2896088","100"
"215437","ESPORTSTMNT06:1880599","100"
"559845","ESPORTSTMNT03:2784585","100"
"483313","ESPORTSTMNT05:1830657","200"
"746472","ESPORTSTMNT01:1305624","100"
"233319","ESPORTSTMNT01:1144130","100"
"594165","ESPORTSTMNT06:1880465","100"
"262645","ESPORTSTMNT01:3331729","100"
"481617","ESPORTSTMNT03:2798782","100"
"267457","ESPORTSTMNT06:1881512","200"
"173804","ESPORTSTMNT02:3169465","100"
"637877","ESPORTSTMNT03:2543322","200"
"985816","ESPORTSTMNT01:1304399","200"
"625394","ESPORTSTMNT06:2816689","100"
"174917","ESPORTSTMNT03:3187150","200"
"560669","ESPORTSTMNT05:2060440","200"
"412856","ESPORTSTMNT04:1000376","100"
"201319","ESPORTSTMNT02:2556697","100"
"1524434","ESPORTSTMNT02:1800586","200"
"422077","ESPORTSTMNT06:1200058","100"
"742754","ESPORTSTMNT04:1961283","200"
"1076826","ESPORTSTMNT02:1938181","200"
"108490","ESPORTSTMNT06:1550214","200"
"328245","ESPORTSTMNT04:2230374","200"
"366186","ESPORTSTMNT01:2773482","200"
"43866","ESPORTSTMNT06:1061175","200"
"697038","ESPORTSTMNT03:1684020","200"
"404876","ESPORTSTMNT03:3195319","200"
