"gametime","platformgameid","teamid","buildingtype"
"710694","ESPORTSTMNT01:1431635","100","turret"
"1863543","ESPORTSTMNT03:2073826","100","inhibitor"
"655449","ESPORTSTMNT02:1331126","200","turret"
"1458069","ESPORTSTMNT03:2542608","200","inhibitor"
"1018478","ESPORTSTMNT05:2942358","100","turret"
"693024","ESPORTSTMNT02:2777068","100","turret"
"956336","ESPORTSTMNT05:3090060","200","turret"
"1077338","ESPORTSTMNT03:2799787","100","turret"
"1028534","ESPORTSTMNT01:1415168","100","turret"
"726518","ESPORTSTMNT01:2744573","100","turret"
"1660454","ESPORTSTMNT04:1970530","200","inhibitor"
"1016900","ESPORTSTMNT02:1101246","100","turret"
"1855615","ESPORTSTMNT04:2685901","100","inhibitor"
"681178","ESPORTSTMNT06:2540953","200","turret"
"1638286","ESPORTSTMNT02:1682595","200","inhibitor"
"1845125","ESPORTSTMNT02:1927565","200","inhibitor"
"539881","ESPORTSTMNT02:2067526","200","turret"
"1194592","ESPORTSTMNT01:2040465","100","turret"
"1146110","ESPORTSTMNT02:3216786","200","turret"
"955846","ESPORTSTMNT01:3411861","200","turret"
"1432731","ESPORTSTMNT05:3241516","100","inhibitor"
"822171","ESPORTSTMNT02:2671483","100","turret"
"955209","ESPORTSTMNT03:2920055","100","turret"
"652501","ESPORTSTMNT01:1401441","100","turret"
"2607851","ESPORTSTMNT03:2103929","200","inhibitor"
"1040581","ESPORTSTMNT04:970435","100","turret"
"691993","ESPORTSTMNT01:1424245","100","turret"
"1002321","ESPORTSTMNT03:3133379","200","turret"
"1029912","ESPORTSTMNT02:1386488","200","inhibitor"
"1154829","ESPORTSTMNT05:1860722","100","turret"
"985951","ESPORTSTMNT05:2060354","100","turret"
"822380","ESPORTSTMNT04:1530428","200","turret"
"1547869","ESPORTSTMNT01:3384137","100","inhibitor"
"1208819","ESPORTSTMNT04:2470097","100","inhibitor"
"726970","ESPORTSTMNT05:1430804","200","turret"
"788603","ESPORTSTMNT01:2965105","100","turret"
"895978","ESPORTSTMNT06:2532051","100","turret"
"693796","ESPORTSTMNT02:2552430","100","turret"
"1025956","ESPORTSTMNT02:3165798","100","turret"
"1782940","ESPORTSTMNT02:1924925","200","inhibitor"
"816037","ESPORTSTMNT04:2694228","200","turret"
"1066509","ESPORTSTMNT05:2750523","200","turret"
"1479345","ESPORTSTMNT02:1696648","100","inhibitor"
"896853","ESPORTSTMNT03:3177113","100","turret"
"948726","ESPORTSTMNT04:2430701","100","turret"
"1685715","ESPORTSTMNT02:1101685","100","inhibitor"
"887559","ESPORTSTMNT01:2131887","200","turret"
"1044413","ESPORTSTMNT01:1882335","100","turret"
"651728","ESPORTSTMNT03:2885628","100","turret"
"927523","ESPORTSTMNT04:1610185","200","turret"
"983741","ESPORTSTMNT05:3220498","100","turret"
"1855038","ESPORTSTMNT03:3166463","100","inhibitor"
"779887","ESPORTSTMNT04:1240378","100","turret"
"926901","ESPORTSTMNT05:3226014","100","turret"
"970269","ESPORTSTMNT01:2984717","200","turret"
"938022","ESPORTSTMNT03:2886421","200","turret"
"988207","ESPORTSTMNT01:3307919","200","turret"
"1465624","ESPORTSTMNT02:2784966","100","inhibitor"
"1911795","ESPORTSTMNT05:1540312","200","inhibitor"
"1000489","ESPORTSTMNT01:3328754","200","turret"
"1579489","ESPORTSTMNT02:3171931","100","inhibitor"
"686178","ESPORTSTMNT03:3092489","200","turret"
"842515","ESPORTSTMNT04:2210302","200","turret"
"626332","ESPORTSTMNT03:1432033","200","turret"
"1799068","ESPORTSTMNT03:1128297","200","inhibitor"
"1547860","ESPORTSTMNT02:2554449","200","turret"
"760483","ESPORTSTMNT03:1994536","200","turret"
"1247440","ESPORTSTMNT02:3221296","100","turret"
"1508625","ESPORTSTMNT05:2560074","200","inhibitor"
"1425882","ESPORTSTMNT06:2290286","200","inhibitor"
"992083","ESPORTSTMNT06:1680361","200","turret"
"810686","ESPORTSTMNT03:3188628","200","turret"
"1595537","ESPORTSTMNT06:1861103","100","inhibitor"
"1686049","ESPORTSTMNT03:2791489","100","inhibitor"
"1043089","ESPORTSTMNT01:2915631","200","turret"
"1590863","ESPORTSTMNT03:3121017","200","turret"
"1993812","ESPORTSTMNT01:2250128","100","inhibitor"
"1464677","ESPORTSTMNT03:1764985","200","inhibitor"
"800043","ESPORTSTMNT02:2554861","100","turret"
"762904","ESPORTSTMNT02:3059756","200","turret"
"1655766","ESPORTSTMNT03:3165335","100","inhibitor"
"900936","ESPORTSTMNT03:3127554","200","turret"
"665527","ESPORTSTMNT06:1880429","200","turret"
"896945","ESPORTSTMNT04:1480394","200","turret"
"860863","ESPORTSTMNT04:2670168","200","turret"
"659814","ESPORTSTMNT03:1128632","100","turret"
"920671","ESPORTSTMNT02:3190522","200","turret"
"929593","ESPORTSTMNT04:1560309","200","turret"
"651605","ESPORTSTMNT05:1830459","200","turret"
"1425804","ESPORTSTMNT02:2576708","100","inhibitor"
"1661219","ESPORTSTMNT03:2787707","200","inhibitor"
"794819","ESPORTSTMNT01:3343549","100","turret"
"982100","ESPORTSTMNT03:2712884","100","turret"
"1028124","ESPORTSTMNT01:1690549","100","turret"
"997329","ESPORTSTMNT01:3379744","200","turret"
"988483","ESPORTSTMNT05:3223371","100","turret"
"1426465","ESPORTSTMNT01:1682619","200","inhibitor"
"1152816","ESPORTSTMNT02:2960607","100","turret"
"1853850","ESPORTSTMNT01:3316207","100","inhibitor"
"1286374","ESPORTSTMNT03:1753802","100","inhibitor"
"888021","ESPORTSTMNT04:2667026","200","turret"
"723742","ESPORTSTMNT06:2470255","200","turret"
"885553","ESPORTSTMNT01:3383913","200","turret"
"886254","ESPORTSTMNT03:1405678","100","turret"
"1835366","ESPORTSTMNT04:2690161","100","inhibitor"
"2512523","ESPORTSTMNT06:2775242","100","inhibitor"
"832221","ESPORTSTMNT03:1995043","100","turret"
"809169","ESPORTSTMNT01:1164869","100","turret"
"778325","ESPORTSTMNT03:2782893","200","turret"
"896847","ESPORTSTMNT01:3327734","200","turret"
"857276","ESPORTSTMNT03:2075287","200","turret"
