"eventtime","platformgameid","gametime","winningteam","blue_level","red_level","blue_cs","red_cs"
"2022-03-02T19:15:03.099Z","ESPORTSTMNT01:2734334","210003","200","17","13","65.0","49.0"
"2021-12-22T10:16:45.215Z","ESPORTSTMNT02:2440617","210752","100","15","13","51.0","51.0"
"2019-07-05T11:11:20.733Z","ESPORTSTMNT03:1121320","210723","200","13","15","53.0","61.0"
"2023-02-12T18:16:06.723Z","ESPORTSTMNT01:3312264","210021","100","16","13","64.0","43.0"
"2022-09-04T10:16:32.977Z","ESPORTSTMNT02:2964845","210017","200","12","14","40.0","51.0"
"2020-10-08T09:11:23.327Z","ESPORTSTMNT03:1551915","210440","200","17","18","60.0","64.0"
"2021-06-28T10:14:04.813Z","ESPORTSTMNT03:1996682","210924","200","15","15","52.0","53.0"
"2022-04-10T09:16:34.339Z","ESPORTSTMNT03:2637468","210020","100","14","16","59.0","61.0"
"2020-06-13T06:46:29.963Z","ESPORTSTMNT01:1403878","210671","200","13","16","56.0","63.0"
"2021-03-02T20:14:14.094Z","ESPORTSTMNT01:1891991","210890","200","17","16","68.0","59.0"
"2020-03-28T06:24:38.310Z","ESPORTSTMNT01:1325606","210731","100","14","15","49.0","64.0"
"2023-03-06T17:06:55.023Z","ESPORTSTMNT03:3118744","210022","200","16","18","69.0","64.0"
"2021-03-20T23:00:02.977Z","ESPORTSTMNT02:1735086","210877","100","15","15","52.0","59.0"
"2022-06-21T20:12:43.301Z","ESPORTSTMNT03:2793661","210001","100","16","16","64.0","56.0"
"2021-06-24T14:13:37.065Z","ESPORTSTMNT06:1830784","210764","100","14","16","53.0","57.0"
"2022-03-23T16:53:23.152Z","ESPORTSTMNT06:2260206","210011","200","14","16","55.0","58.0"
"2023-07-26T18:04:10.385Z","ESPORTSTMNT04:2689275","210012","200","17","16","70.0","65.0"
"2019-08-10T09:09:38.169Z","ESPORTSTMNT02:1101868","210014","100","14","14","60.0","62.0"
"2022-03-17T01:02:41.002Z","ESPORTSTMNT02:2671831","210029","200","14","15","50.0","55.0"
"2023-02-24T18:12:04.535Z","ESPORTSTMNT04:2666251","210000","100","16","15","63.0","54.0"
"2022-06-10T00:05:33.250Z","ESPORTSTMNT02:2777049","210020","100","17","16","64.0","62.0"
"2021-08-22T16:08:15.446Z","ESPORTSTMNT06:1881358","210839","100","15","14","69.0","45.0"
"2023-02-10T10:04:17.424Z","ESPORTSTMNT01:3308953","210029","200","14","14","63.0","54.0"
"2023-01-24T19:10:52.752Z","ESPORTSTMNT02:3140471","210021","200","15","17","59.0","62.0"
"2021-07-21T18:17:14.737Z","ESPORTSTMNT02:2064742","210952","100","17","15","58.0","54.0"
"2021-07-20T17:53:31.571Z","ESPORTSTMNT02:2064236","210942","200","15","14","59.0","54.0"
"2022-02-27T09:06:10.644Z","ESPORTSTMNT03:2580298","210012","200","15","18","58.0","66.0"
"2021-02-04T13:50:15.495Z","ESPORTSTMNT05:1831273","210949","100","15","16","56.0","68.0"
"2022-02-19T15:04:46.627Z","ESPORTSTMNT06:2190804","210130","100","16","14","63.0","53.0"
"2023-05-18T13:47:41.486Z","ESPORTSTMNT04:2679107","210008","200","17","17","52.0","73.0"
"2022-06-01T00:14:01.621Z","ESPORTSTMNT02:2781562","210013","200","13","13","37.0","39.0"
"2023-04-16T12:00:15.615Z","ESPORTSTMNT02:3191553","210029","100","17","17","61.0","68.0"
"2021-03-06T15:59:30.990Z","ESPORTSTMNT01:1894541","210058","100","16","15","61.0","56.0"
"2021-06-08T22:02:12.327Z","ESPORTSTMNT02:1935451","210856","100","16","15","62.0","44.0"
"2020-08-14T20:13:59.213Z","ESPORTSTMNT03:1440838","210201","100","16","16","60.0","58.0"
"2022-05-23T12:55:12.193Z","ESPORTSTMNT03:2714545","210015","100","15","16","47.0","62.0"
"2020-06-26T16:57:47.258Z","ESPORTSTMNT05:1520560","210863","200","15","17","54.0","57.0"
"2021-07-25T14:08:01.754Z","ESPORTSTMNT02:2076419","210890","100","17","17","71.0","69.0"
"2023-03-25T11:15:15.479Z","ESPORTSTMNT01:3330891","210027","200","14","13","61.0","63.0"
"2019-07-12T18:09:23.269Z","ESPORTSTMNT06:1020643","210724","100","13","13","53.0","47.0"
"2023-06-23T15:16:38.067Z","ESPORTSTMNT01:3386528","210008","200","16","17","67.0","63.0"
"2023-07-14T09:09:28.197Z","ESPORTSTMNT02:3220419","210025","100","16","16","61.0","60.0"
"2022-03-26T11:07:33.635Z","ESPORTSTMNT06:2290275","210026","200","15","15","59.0","47.0"
