"platformgameid","blue_kills","red_kills"
"ESPORTSTMNT02:2914531","11","23"
"ESPORTSTMNT03:2091296","10","13"
"ESPORTSTMNT03:2101656","20","5"
"ESPORTSTMNT03:1813520","15","5"
"ESPORTSTMNT02:2553419","19","2"
"ESPORTSTMNT05:1860625","25","7"
"ESPORTSTMNT03:2101220","23","8"
"ESPORTSTMNT01:2144769","13","7"
"ESPORTSTMNT01:2742333","23","5"
"ESPORTSTMNT04:2691789","16","12"
"ESPORTSTMNT02:3212988","8","24"
"ESPORTSTMNT06:2768924","15","23"
"ESPORTSTMNT03:1991520","16","6"
"ESPORTSTMNT02:1260533","10","18"
"ESPORTSTMNT06:1071025","20","9"
"ESPORTSTMNT01:3084243","7","20"
"ESPORTSTMNT01:2697985","30","12"
"ESPORTSTMNT06:1721017","18","24"
"ESPORTSTMNT03:3123651","8","19"
"ESPORTSTMNT02:2662032","27","15"
"ESPORTSTMNT05:2670506","29","13"
"ESPORTSTMNT01:2147154","2","17"
"ESPORTSTMNT02:3042881","18","14"
"ESPORTSTMNT01:3403138","11","26"
"ESPORTSTMNT06:1860052","19","7"
"ESPORTSTMNT01:2240494","2","14"
"ESPORTSTMNT05:2980240","5","10"
"ESPORTSTMNT03:2003327","20","7"
"ESPORTSTMNT04:2451799","18","22"
"ESPORTSTMNT02:3161035","18","33"
"ESPORTSTMNT03:1996838","15","20"
"ESPORTSTMNT02:2075980","9","26"
"ESPORTSTMNT01:1163194","19","6"
"ESPORTSTMNT02:1413008","23","5"
"ESPORTSTMNT01:1110148","24","8"
"ESPORTSTMNT03:1996842","17","8"
"ESPORTSTMNT01:3300211","2","14"
"ESPORTSTMNT01:3339077","0","7"
"ESPORTSTMNT01:2131107","14","20"
"ESPORTSTMNT05:3060318","10","11"
"ESPORTSTMNT03:3179740","29","25"
"ESPORTSTMNT03:2569008","11","16"
"ESPORTSTMNT04:1520472","12","24"
"ESPORTSTMNT01:1731702","18","19"
"ESPORTSTMNT03:3179079","10","21"
"ESPORTSTMNT05:1210389","16","5"
"ESPORTSTMNT01:3336977","13","11"
"ESPORTSTMNT03:2633005","24","5"
"ESPORTSTMNT01:2772842","19","12"
"ESPORTSTMNT03:2055034","3","8"
"ESPORTSTMNT02:1284967","12","22"
"ESPORTSTMNT03:2130389","15","4"
"ESPORTSTMNT03:1123831","6","15"
"ESPORTSTMNT03:2054829","18","10"
"ESPORTSTMNT04:2431079","15","2"
"ESPORTSTMNT03:3089605","14","16"
"ESPORTSTMNT02:2786708","16","23"
"ESPORTSTMNT02:1385895","16","2"
"ESPORTSTMNT05:2940846","12","23"
"ESPORTSTMNT01:3083705","16","7"
"ESPORTSTMNT01:1720409","8","17"
"ESPORTSTMNT02:3220540","22","10"
"ESPORTSTMNT02:1403931","19","7"
"ESPORTSTMNT01:3323958","31","13"
"LPL_A:328573","6","12"
"ESPORTSTMNT06:2767305","10","25"
"ESPORTSTMNT06:2819885","10","28"
"ESPORTSTMNT02:1936575","21","7"
"ESPORTSTMNT06:1180922","8","27"
"ESPORTSTMNT06:2816408","5","18"
"ESPORTSTMNT01:1693052","24","5"
"ESPORTSTMNT05:3239537","11","18"
"ESPORTSTMNT06:2773471","17","14"
"ESPORTSTMNT01:2903671","14","5"
"ESPORTSTMNT04:2664115","15","4"
"ESPORTSTMNT06:1881056","6","17"
"ESPORTSTMNT03:2631590","2","13"
"ESPORTSTMNT02:1281103","17","8"
"ESPORTSTMNT02:2674660","29","17"
"ESPORTSTMNT05:1540474","25","13"
"ESPORTSTMNT02:1721715","26","7"
"ESPORTSTMNT01:2698125","7","24"
"ESPORTSTMNT06:2818718","24","20"
"ESPORTSTMNT05:1510096","8","26"
"ESPORTSTMNT02:2440623","27","6"
"ESPORTSTMNT02:3219475","20","6"
"ESPORTSTMNT01:2734466","23","12"
"ESPORTSTMNT06:2767279","13","1"
"ESPORTSTMNT06:1860792","7","22"
"ESPORTSTMNT03:2797050","14","3"
"ESPORTSTMNT01:2982765","7","14"
"ESPORTSTMNT02:2556732","22","7"
"ESPORTSTMNT01:2982801","20","4"
"ESPORTSTMNT02:2575583","31","7"
"ESPORTSTMNT03:3165002","19","4"
"ESPORTSTMNT01:1683213","4","19"
"ESPORTSTMNT06:1072311","28","31"
"ESPORTSTMNT01:2240343","23","3"
"ESPORTSTMNT01:3413801","4","13"
"ESPORTSTMNT03:2789929","9","26"
"ESPORTSTMNT06:2541656","18","5"
"ESPORTSTMNT02:1694753","2","11"
"ESPORTSTMNT03:1762129","17","6"
"ESPORTSTMNT03:3167184","15","11"
"ESPORTSTMNT03:2563681","9","29"
"ESPORTSTMNT03:2542930","3","13"
"ESPORTSTMNT03:3097984","8","28"
"ESPORTSTMNT03:3190866","9","18"
"ESPORTSTMNT02:1386328","10","18"
"ESPORTSTMNT03:2784544","24","2"
"ESPORTSTMNT03:1343002","17","12"
"ESPORTSTMNT06:2460442","8","21"
"ESPORTSTMNT02:3164616","18","18"
"ESPORTSTMNT03:3090544","8","1"
"ESPORTSTMNT02:1114794","13","26"
"ESPORTSTMNT02:2840571","24","10"
"ESPORTSTMNT03:1811904","17","8"
"ESPORTSTMNT03:2569995","5","20"
"ESPORTSTMNT03:3200202","25","10"
"ESPORTSTMNT01:2771624","15","7"
"ESPORTSTMNT03:2052433","11","17"
"ESPORTSTMNT06:1881292","30","8"
"ESPORTSTMNT03:1343343","17","6"
"ESPORTSTMNT02:3215282","9","13"
"ESPORTSTMNT03:2569506","21","11"
"ESPORTSTMNT02:1091308","23","16"
"ESPORTSTMNT02:2551029","3","17"
"ESPORTSTMNT02:2786668","3","20"
"ESPORTSTMNT01:1883400","13","14"
"ESPORTSTMNT02:3168822","11","19"
"ESPORTSTMNT02:1937333","0","18"
"ESPORTSTMNT04:1560345","11","23"
"ESPORTSTMNT04:2410982","19","4"
"ESPORTSTMNT03:3168131","14","5"
