"platformgameid","teamid","side","shutdownbounty"
"ESPORTSTMNT04:2210455","105520784254806142","100","450"
"ESPORTSTMNT06:1560275","105536952747658409","100",
"ESPORTSTMNT04:1140340","98767991940181526","100",
"ESPORTSTMNT03:1331462","99566408219409348","100",
"ESPORTSTMNT01:2137507","100205573496804586","100",
"ESPORTSTMNT05:1510206","101383793569248484","200",
"ESPORTSTMNT02:3056626","99566404852189289","100","1050"
"ESPORTSTMNT03:1755958","103935642731826448","100",
"ESPORTSTMNT01:1401435","99566406332987990","100",
"ESPORTSTMNT03:3084288","107581300297680248","100","0"
"ESPORTSTMNT01:3409320","98767991860392497","200","350"
"ESPORTSTMNT03:2713300","98767991853197861","200","50"
"ESPORTSTMNT01:2914117","107582615829368757","200","150"
"ESPORTSTMNT06:1580709","104710682193583854","200",
"ESPORTSTMNT03:2567441","103877589042434434","200","0"
"ESPORTSTMNT06:1690319","102787200151698443","100",
"ESPORTSTMNT03:1127370","99566406334639907","200",
"ESPORTSTMNT03:3197762","105550049871017396","200","300"
"ESPORTSTMNT05:2560120","103535282148790975","100","0"
"ESPORTSTMNT03:1404383","99566404585387054","100",
"ESPORTSTMNT04:1810729","103535282146169523","100",
"ESPORTSTMNT03:3120261","105532791598779236","200","1550"
"ESPORTSTMNT02:3223073","100725845022060229","200","100"
"ESPORTSTMNT03:2546063","107581209070519555","100","1500"
"ESPORTSTMNT01:1882139","105521419784127190","100",
"ESPORTSTMNT03:3095362","103535282124208038","100","450"
"ESPORTSTMNT06:1830936","98767991949608898","100",
"ESPORTSTMNT01:2982190","105521504308341229","200","350"
"ESPORTSTMNT05:1870296","101383793569248484","200",
"ESPORTSTMNT01:3371349","105913238372341488","200","300"
"ESPORTSTMNT02:3165766","107760667929003738","200","850"
"ESPORTSTMNT03:3160716","107467794614674479","200","150"
"ESPORTSTMNT04:1220593","103535282135552642","200",
"ESPORTSTMNT02:3221010","103535282124208038","100","250"
"ESPORTSTMNT04:1961392","98767991882270868","200",
"ESPORTSTMNT02:3164920","101428372603715124","200","1000"
"ESPORTSTMNT03:2636648","105549991104165282","200","1850"
"ESPORTSTMNT02:1321109","103461966971048042","100",
"ESPORTSTMNT04:2690738","102787200136756173","200","1300"
"ESPORTSTMNT01:1721721","105521402545275594","100",
"ESPORTSTMNT05:3060448","98767991866488695","200","1050"
"ESPORTSTMNT02:1333463","100205573495116443","100",
"ESPORTSTMNT02:2973249","99566405130451785","100","1100"
"ESPORTSTMNT02:3227954","99566408221961358","100","600"
"ESPORTSTMNT03:3192561","109696138543579708","200","1050"
"ESPORTSTMNT04:1800925","105536643047197642","200",
"ESPORTSTMNT02:2775197","107603600826620492","100","0"
"ESPORTSTMNT03:2564420","103535282124208038","200","650"
"ESPORTSTMNT05:2941554","99566405130451785","200","50"
"ESPORTSTMNT01:2697394","105521504308341229","200",
"ESPORTSTMNT02:1938162","98926509884398584","100",
"ESPORTSTMNT06:2541064","105515219038427019","100","1800"
"ESPORTSTMNT04:2451522","105537947396116202","200","0"
"ESPORTSTMNT01:3317857","109783164711873455","100","1250"
