"teamid","esportsgameid","platformgameid","side"
"105550033967461806","110378429158160204","ESPORTSTMNT02:3220280","200"
"110424397251619481","110424377526038803","ESPORTSTMNT06:2818303","200"
"99566404856367466","110428848767875084","LPL_B:326759","200"
"107599089191671351","109676354720512275","ESPORTSTMNT03:3095224","200"
"107565448721890834","110425082379044643","ESPORTSTMNT04:2685177","200"
"105559480124455983","106305935742541434","ESPORTSTMNT03:2000349","200"
"100725845018863243","105522984812850544","ESPORTSTMNT03:1757884","200"
"105397404796640412","110413046183474735","ESPORTSTMNT01:3381541","200"
"107582641798795198","109699002332890803","ESPORTSTMNT06:2775486","200"
"107467803833323099","109467087407753290","ESPORTSTMNT02:3169401","200"
"103877891572305836","103936903255278088","ESPORTSTMNT06:1200066","200"
"104710354840711661","110169570920815130","ESPORTSTMNT05:3223055","200"
"99566406065437842","107566458490449284","ESPORTSTMNT04:2220194","200"
"101909007472450882","101931550758067547","ESPORTSTMNT02:1024535","200"
"107598699275015260","109659890856073535","ESPORTSTMNT03:3084449","200"
"101383793574360315","103462460596590483","ESPORTSTMNT04:1140380","200"
"98767991935149427","106269744789393637","ESPORTSTMNT02:2072781","200"
"98767991860392497","106433075319986028","ESPORTSTMNT03:2092710","200"
"101428372605353526","108231751507887561","ESPORTSTMNT03:2930511","200"
"99566408217116828","104202471517814528","ESPORTSTMNT01:1401595","200"
"98767991892579754","110428848767875108","LPL_B:326360","200"
"105594116005157262","106311748112079114","ESPORTSTMNT01:2134840","200"
"99566405130451785","104174601835007632","ESPORTSTMNT01:1413742","200"
"105515345386578249","109467129926917819","ESPORTSTMNT06:2769268","200"
"99294153824386385","106433075319986043","ESPORTSTMNT03:2102253","200"
"99566406334639907","103535402770536808","ESPORTSTMNT03:1330730","200"
"99566404581868574","107418445248214175","ESPORTSTMNT04:2210486","200"
"99566406066182955","106620499030833667","ESPORTSTMNT06:1860933","200"
"105521408363571548","108171991244497538","ESPORTSTMNT03:2799374","200"
"107565493716773932","109467209706033257","ESPORTSTMNT01:3316155","200"
"106857755268998406","106858019191645799","ESPORTSTMNT02:2151558","200"
"105514907449611976","109467129926983403","ESPORTSTMNT06:2775696","200"
"98767991954244555","109749565998774099","ESPORTSTMNT02:3171267","200"
"108517492697602721","109704924272861568","ESPORTSTMNT02:3164938","200"
"105553606349477427","108171991244431868","ESPORTSTMNT04:2300407","200"
"105515219038427019","108158179540572183","ESPORTSTMNT05:2952082","200"
"98767991954244555","109749565998970907","ESPORTSTMNT02:3191402","200"
"102787200149928963","109467311740775398","ESPORTSTMNT01:3308067","200"
"107603586980602718","107639438038238621","ESPORTSTMNT01:2782912","200"
"107110686951738484","107457033676741280","ESPORTSTMNT03:2548943","200"
