"platformgameid","winningteam"
"ESPORTSTMNT01:1294233","100"
"ESPORTSTMNT01:1155159","100"
"ESPORTSTMNT01:1144593","200"
"ESPORTSTMNT01:1435288","200"
"ESPORTSTMNT01:1293312","100"
"ESPORTSTMNT01:1165337","100"
"ESPORTSTMNT01:1134136","200"
"ESPORTSTMNT01:1121307","100"
"ESPORTSTMNT01:1144832","100"
"ESPORTSTMNT01:1132935","200"
"ESPORTSTMNT01:1380455","200"
"ESPORTSTMNT01:1161821","100"
"ESPORTSTMNT01:1301108","100"
"ESPORTSTMNT01:1155737","100"
"ESPORTSTMNT01:1144747","100"
"ESPORTSTMNT01:1424337","100"
"ESPORTSTMNT01:1152514","200"
"ESPORTSTMNT01:1305855","100"
"ESPORTSTMNT01:1121381","200"
"ESPORTSTMNT01:1110162","100"
"ESPORTSTMNT01:1120625","200"
"ESPORTSTMNT01:1325856","100"
"ESPORTSTMNT01:1164869","100"
"ESPORTSTMNT01:1120736","100"
"ESPORTSTMNT01:1424599","100"
"ESPORTSTMNT01:1121192","100"
"ESPORTSTMNT01:1301159","100"
"ESPORTSTMNT01:1120787","200"
"ESPORTSTMNT01:1141759","100"
"ESPORTSTMNT01:1121638","100"
"ESPORTSTMNT01:1144927","200"
"ESPORTSTMNT01:1163152","100"
"ESPORTSTMNT01:1144492","100"
"ESPORTSTMNT01:1315347","100"
"ESPORTSTMNT01:1165318","200"
"ESPORTSTMNT01:1121637","100"
"ESPORTSTMNT01:1121026","100"
"ESPORTSTMNT01:1434800","200"
"ESPORTSTMNT01:1153186","200"
"ESPORTSTMNT01:1323141","100"
"ESPORTSTMNT01:1155805","100"
"ESPORTSTMNT01:1692604","100"
"ESPORTSTMNT01:1292329","100"
"ESPORTSTMNT01:1162008","200"
"ESPORTSTMNT01:1141907","100"
"ESPORTSTMNT01:1133992","200"
"ESPORTSTMNT01:1142185","200"
"ESPORTSTMNT01:1155220","200"
"ESPORTSTMNT01:1131235","100"
"ESPORTSTMNT01:1300935","200"
"ESPORTSTMNT01:1296707","100"
"ESPORTSTMNT01:1110187","100"
"ESPORTSTMNT01:1121464","100"
"ESPORTSTMNT01:1403870","100"
"ESPORTSTMNT01:1131814","200"
"ESPORTSTMNT01:1121470","100"
"ESPORTSTMNT01:1691411","100"
"ESPORTSTMNT01:1721557","200"
"ESPORTSTMNT01:1144542","100"
"ESPORTSTMNT01:1161938","200"
"ESPORTSTMNT01:1325188","100"
"ESPORTSTMNT01:1415168","100"
"ESPORTSTMNT01:1682971","200"
"ESPORTSTMNT01:1111464","100"
"ESPORTSTMNT01:1305850","100"
"ESPORTSTMNT01:1133581","200"
"ESPORTSTMNT01:1425804","200"
"ESPORTSTMNT01:1690580","100"
"ESPORTSTMNT01:1291177","200"
"ESPORTSTMNT01:1295383","200"
"ESPORTSTMNT01:1403918","100"
"ESPORTSTMNT01:1315386","100"
"ESPORTSTMNT01:1436453","200"
"ESPORTSTMNT01:1305891","200"
"ESPORTSTMNT01:1121411","100"
"ESPORTSTMNT01:1434957","100"
"ESPORTSTMNT01:1692673","100"
"ESPORTSTMNT01:1294260","100"
