MIN ELO: 768 
AVERAGE ELO: 1000 
MEDIAN ELO: 1000 
MAX ELO: 1593 

('101383793567806688', SK Gaming 768.8593224456421)
('101383793569248484', Astralis 777.44895243493)
('101383793572656373', EXCEL 798.7225008280567)
('99322214695067838', Team Vitality 804.3921470453649)
('99322214689444546', Schalke 04 Esports 846.9459743005247)
('107563714667537640', Team BDS 880.3839993760669)
('109637393694097670', Team Heretics 940.9358144597244)
('98767991940181526', Misfits Gaming 979.0536919035684)
('107582169874155554', God's Plan 1000)
('105550059790656435', T1 Esports Academy 1000)
('103535282143744679', Dark Passage Akademi 1000)
('101157821387445307', Caps 1000)
('110534724851488577', Froggy Five 1000)
('109671201259007744', Team Liquid Honda First 1000)
('107423086908356081', Nyyrikki 1000)
('107582176093752697', Hooked Esports 1000)
('99566406336293850', Bombers 1000)
('107251374793416561', CERBERUS ESPORTS 1000)
('105593951536470384', GTZ Esports 1000)
('103935446548920777', Misfits Premier 1000)
('103535282151674574', Royal Youth Akademi 1000)
('104211677548295324', Double Crunch Team Italy 1000)
('106827827857159558', V3 Academy 1000)
('105521637552587612', Team Phantasma 1000)
('101383792559569368', All Knights 1000)
('105550005698683818', Liberty Academy 1000)
('109631541326560210', Reven Esports 1000)
('105550054006182911', NONGSHIM ESPORTS ACADEMY 1000)
('105514967858969605', GameWard 1000)
('107581178720470377', Arctic Gaming 1000)
('100205573495116443', Gen.G 1000)
('109783160511364305', CB Gaming 1000)
('109783164711873455', Zenigma 1000)
('107582618156093368', Incubus 1000)
('100285330169036485', Unsold Stuff Gaming 1000)
('105593161016793151', Inside Games 1000)
('105521408363571548', Illuminar Gaming 1000)
('104710316579222193', G2 Arctic 1000)
('98767991871709842', Gambit Esports 1000)
('110424397251619481', Myth Esports 1000)
('105521706535388095', Anorthosis Famagusta Esports 1000)
('107582609836036013', Diamond Doves 1000)
('109782867012820172', Horizon Gaming 1000)
('99566404581868574', Kwangdong Freecs 1000)
('105550003470349739', Rensga Academy 1000)
('103877554248683116', Schalke 04 Evolution 1000)
('110534728305628996', Kelyx's Grandpa Gamers 1000)
('105515219038427019', Karmine Corp 1000)
('105503848339138647', PENTA 1860 1000)
('107693836459380354', SAMPI 1000)
('105515109012592449', IZIDREAM 1000)
('105553684493690219', Split Raiders 1000)
('106334794714373670', Goexanimo 1000)
('101428372830010965', Alpha Esports 1000)
('103877756742242918', Racoon 1000)
('100205573002983994', EVOS Esports 1000)
('100285330170285888', Kuala Lumpur Hunters 1000)
('99566405126602853', FlyQuest Challengers 1000)
('107603566520687175', Team Mayan eSports 1000)
('109675484017801229', Team Bliss 1000)
('105521419784127190', Komil&Friends 1000)
('103935642731826448', Sector One 1000)
('108018637503819612', PRO42 Esports 1000)
('101383792891050518', Gravitas 1000)
('99566405128626825', 100 Thieves Challengers 1000)
('104367068120825486', PSG Talon 1000)
('105913232697120493', EG Prodigies 1000)
('105515345386578249', Solary 1000)
('101157821395833925', Uzi 1000)
('102787200124959636', Crvena Zvezda Esports 1000)
('106857761435870473', Supernova 1000)
('107598699275015260', Leviatán Esports 1000)
('107110686951738484', Esports Empire 1000)
('103935523328473675', K1CK Neosurf 1000)
('103877925817094140', PIGSPORTS 1000)
('109696126554266494', Geekay Esports 1000)
('106301891501674861', PDW 1000)
('107582638341246907', Instinct Gaming 1000)
('98767991860392497', TSM 1000)
('109782787975510889', Native Gaming 1000)
('99566406490127625', J Team 1000)
('99566404850008779', Suzhou LNG Esports 1000)
('107467794614674479', FnaticTQ 1000)
('99566408221961358', RED Kalunga 1000)
('108319669531442279', Aguilas Doradas 1000)
('105548000936710641', Method2Madness 1000)
('109828279319224248', MGN Box Esports 1000)
('105301755072677196', LCK Queue Kings 1000)
('101157821440857212', EU with Influencers 1000)
('101157821459731619', Tandem Mode C 1000)
('109749493607708438', ENEMI3S 1000)
('103535282124208038', Pentanet.GG 1000)
('99124844354766222', PCS All-Stars 1000)
('105549988405523871', Flamengo Academy 1000)
('109696115986547257', Fox Gaming 1000)
('101157821437777013', NA with Influencers 1000)
('110534741480867943', Teamless Revenge 1000)
('107700199633958891', CTBC Flying Oyster 1000)
('102787200147504121', Campus Party Sparks 1000)
('107581733744920199', Goat Esports 1000)
('107603551467692884', ELR Gaming 1000)
('102747101562758215', SeolHaeOne Prince 1000)
('105193385417106233', LLA All-Stars 1000)
('99566405132177721', Clutch Gaming Academy 1000)
('105505619546859895', OKSavingsBank BRION 1000)
('107581765633427097', Fuego 1000)
('105519977854458717', Nordavind 1000)
('99566404848691211', Invictus Gaming 1000)
('107598704067400262', Stone Movistar 1000)
('107598805167594304', Wap Esports 1000)
('105594135137147298', White Dragons 1000)
('99566404853854212', Bilibili Gaming Pingan Bank 1000)
('106295024192678387', Gaia Esports 1000)
('109696073114910519', Anubis Gaming 1000)
('105503948999800557', E WIE EINFACH E-SPORTS 1000)
('107599174108436104', Rebirth Esports 1000)
('108203159356403647', Kwangdong Freecs Academy 1000)
('102141671184261103', Columbia College 1000)
('99124844358677975', LEC All-Stars 1000)
('103240746431167117', Exosen 1000)
('108517492697602721', Dewish Team 1000)
('105537226118106446', Axolotl Esports 1000)
('106857755268998406', Resolve 1000)
('109631610813971977', Mezexis Esports 1000)
('103935421249833954', MAD Lions Madrid 1000)
('106300533256999014', Starlan Gaming Club 1000)
('105352091319919029', LCS Legends 1000)
('101157821464777897', Team URF B 1000)
('101157821463139495', Team URF A 1000)
('109981644490281844', Rock Bottom Esports 1000)
('106302593752767294', Miners Academy 1000)
('100285330168091787', DetonatioN FocusMe 1000)
('105593213115128994', Dark Tigers 1000)
('103877879209300619', Vipers Inc 1000)
('102141671185899507', University of Western Ontario 1000)
('110534732558665825', Komodo 1000)
('109485351596724390', Los Grandes Academy 1000)
('99124844355850858', LCS All-Stars 1000)
('102787200153467923', BCN Squad 1000)
('102141671186685941', University of Waterloo 1000)
('99566405129589291', Golden Guardians Challengers 1000)
('106806773698472633', Team Aze 1000)
('105913221137618666', No Org 1000)
('109672446077514083', The Kings Moon 1000)
('109783023470714128', Team Tony Top 1000)
('104710369093939895', SuppUp eSports 1000)
('103240746422450813', Closer 1000)
('99566405124618295', Team Liquid Honda Challengers 1000)
('107598785733448849', River Plate Gaming 1000)
('108121047955658273', Aurelius Esports 1000)
('109981647134921596', CCG Esports 1000)
('102825747701670848', Azules Esports 1000)
('99294153830557090', OpTic Gaming 1000)
('107700208463820785', Hurricane Gaming 1000)
('103240746430053003', TheShy 1000)
('101157821352457994', KR with Influencers 1000)
('101428372605353526', Sengoku Gaming 1000)
('102787200159169580', Godsent 1000)
('103240746423564927', Nomanz 1000)
('109485335453835911', Vivo Keyd Stars Academy 1000)
('102787200129022886', eSuba 1000)
('109480056092207899', FLUXO 1000)
('105536952747658409', MKERS 1000)
('99566406493155041', Machi Esports 1000)
('106371176555003349', NK Osijek Esport 1000)
('110534700622694005', Aporia 1000)
('107423083507599175', Vanir 1000)
('105514907449611976', Team BDS Academy 1000)
('100725845022060229', Liiv SANDBOX 1000)
('98926509892121852', FlyQuest 1000)
('107598788926820994', Macro Pampas 1000)
('107581738783262346', Gravity Elite 1000)
('99566406338282437', ORDER 1000)
('98767991916844003', Kaos Latin Gamers 1000)
('105537621677160078', Team Queso 1000)
('103240746427890311', Tian 1000)
('105550026570060790', DK Challengers 1000)
('99294153828264740', 100 Thieves 1000)
('102787200136756173', Berlin International Gaming 1000)
('102804906460506452', Lowkey Esports 1000)
('105351835580819729', LCS Queue Kings 1000)
('103240746433395345', Clid 1000)
('98767991930907107', Immortals Progressive 1000)
('98926509883054987', Dignitas 1000)
('108439036582886702', BWE Esports 1000)
('107581284487120142', Six Karma 1000)
('106857724782292541', C9 Amateur 1000)
('107467827374313054', Finetwork KOI 1000)
('103461966971048042', Evil Geniuses Challengers 1000)
('99566408221114231', KaBuM! Esports 1000)
('105913111502565010', Zoos Gaming 1000)
('104710383210356454', LowLandLions 1000)
('105550036134585264', BRO Challengers 1000)
('109697683685398040', MAGAZA 1000)
('105549998884468136', paiN Academy 1000)
('109783130654973406', Godel Gamers 1000)
('105301773561628001', LCK Legends 1000)
('101157821382267957', Sneaky 1000)
('109698030312834058', Genbu Gaming 1000)
('103535282140533402', Beşiktaş Akademi 1000)
('105351737774956843', LPL Legends 1000)
('107603544245460197', Ramo Awake Gaming 1000)
('106269859169658575', Impunity Esports 1000)
('107599040773840060', Meta Gaming 1000)
('107251295460371069', Team Secret 1000)
('109674808371974726', Newell's Esports 1000)
('109631326144414089', 19 Esports 1000)
('103535282146169523', Info Yatırım Aurora Akademi 1000)
('101422616509070746', Galatasaray Espor 1000)
('108203173414485265', HLE Academy 1000)
('103240746421271163', Chippys 1000)
('103240746424613505', Goku 1000)
('98767991954244555', GAM Esports 1000)
('109674814051390025', Primate 1000)
('104251016988118464', Galatasaray Espor Akademi 1000)
('108159996371573462', Maryville University 1000)
('99566406334639907', Legacy Esports 1000)
('101157821417067613', G4 1000)
('106827823550343961', AXZ Academy 1000)
('102787200126663579', Giants 1000)
('106250732506012141', Umbra Divinus Gaming 1000)
('105397404796640412', LOUD 1000)
('105593182576105603', BRUTE 1000)
('105504044166670507', Unicorns of Love Sexy Edition 1000)
('99566405944694628', Pixel Esports Club 1000)
('99566405131343995', Echo Fox Academy 1000)
('104710343016706538', 7more7 Pompa Team 1000)
('109981650516317055', Mirage Alliance 1000)
('109642680932009857', Nord Esports 1000)
('107581206998502078', Atheris Esports 1000)
('105520077508552574', Tricked Esport 1000)
('107598683861013570', Boca Juniors Gaming 1000)
('103240746436737687', Mikyx 1000)
('110733889090164854', Return of the Middlesticks 1000)
('105503535895066182', Wave Esports 1000)
('102787200145472495', Defusekids 1000)
('107456352597333899', NNO Prime 1000)
('107564167676290839', Rebels 1000)
('109668849651338559', FENNEL 1000)
('107599112065439311', Dark Horse 1000)
('105515266817621145', Team MCES 1000)
('103877891572305836', Team Singularity 1000)
('103963715924353674', Dragon Army 1000)
('105521426070232498', Rejects Gaming 1000)
('107574959289974368', Odivelas Sports Club 1000)
('98767991853197861', T1 1000)
('107598764318774383', KRÜ Esports 1000)
('104270958001747936', One Breath Gaming 1000)
('107575082591536093', Entropiq 1000)
('107598878262940546', Malvinas Rise 1000)
('107467803833323099', Los Heretics 1000)
('99322214691747156', Splyce 1000)
('105519846782566525', MnM Gaming 1000)
('105593311172904657', Eclot Gaming 1000)
('109671413728531527', Pentagon Rejects 1000)
('99566406065437842', Dark Passage 1000)
('106827844148688268', SG Academy 1000)
('103878020539746273', EGN Esports 1000)
('107655539755387391', Varona Esports 1000)
('108159958519099117', Bay State College 1000)
('98767991882270868', SHANGHAI EDWARD GAMING HYCAN 1000)
('105536643047197642', NASR ESPORTS 1000)
('107581689894520368', Bandits Gaming 1000)
('107599089191671351', Santiago Wanderers 1000)
('107700211633200412', Meta Falcon Team 1000)
('107582150625414483', AceS GaminG 1000)
('108203166973601408', Liiv SANDBOX Academy 1000)
('101157821432665199', Ceros 1000)
('99566406066182955', GALAKTICOS 1000)
('102141671183409133', Maryville University 1000)
('99294153826603341', Clutch Gaming 1000)
('109672618694070633', Aethernum Esports 1000)
('103240746440080029', Doinb 1000)
('103240746432281231', Ziv 1000)
('103535282135552642', Papara SuperMassive Blaze Akademi 1000)
('105520796734358045', Team 7AM 1000)
('100725845018863243', Dplus Kia 1000)
('108352305932141947', DSYRE 1000)
('109485342651298305', FLUXO Academy 1000)
('103963753080578719', CrowCrowd Moscow 1000)
('99566406494784730', MAD Team 1000)
('107580497041999074', Team Ambition 1000)
('99566404846951820', LGD GAMING 1000)
('101428372602011186', V3 Esports 1000)
('107581761958954646', Vandals Esports 1000)
('106857739520697600', 100 Next 1000)
('106334802515490809', Wortex 1000)
('103877908090914662', Kenty 1000)
('103240746438900379', Bolulu 1000)
('101428372607057464', AXIZ 1000)
('105913238372341488', Wildcard 1000)
('109539776003058530', Alior Bank Team 1000)
('107456994699991548', Atleta Esport 1000)
('103535282119620510', Fukuoka SoftBank HAWKS gaming 1000)
('103240746426776197', Shrimp 1000)
('101383792887446028', MAMMOTH 1000)
('110492173877838150', Eternal Fire 1000)
('109981655738221109', Team Plink 1000)
('107582598621022934', Club Deportivo Municipal 1000)
('107582173169864040', GeekSide Esports 1000)
('106302119383559530', Galaxy Racer 1000)
('101157821399635017', Bang 1000)
('103461966975897718', Immortals Progressive Challengers 1000)
('107582157086477662', Descuydado Aucas Esports 1000)
('105536738266035235', Cyberground Gaming 1000)
('99566408217955692', paiN Gaming 1000)
('109676337359108345', Eclipse Gaming 1000)
('105536918475957734', Macko Esports 1000)
('109698026697016325', Barcelona BG 1000)
('107599144012469862', Maze Gaming 1000)
('103877774634323825', YDN Gamers 1000)
('103461966951059521', Evil Geniuses LG 1000)
('109696092218588987', Nigma Galaxy 1000)
('103535282138043022', Fenerbahçe Espor Akademi 1000)
('108203169709977541', BRO Academy 1000)
('107603548241713732', Braves Rising 1000)
('105520781900097659', 4 Elements 1000)
('99566405688134373', Besiktasarchive 1000)
('104016416551172375', Seorabeol Gaming 1000)
('103240746437786265', Bwipo 1000)
('107416342401528388', Maturalni Forsaken 1000)
('109704625422425316', Benelux United 1000)
('103877625775457850', Movistar Riders 1000)
('99566408217116828', INTZ 1000)
('108159890692353756', St. Clair College 1000)
('108319257932089006', Osaka 1000)
('110425005562048945', Keypulse Esports 1000)
('100205576309502431', FURIA 1000)
('109783124183318312', University of St. Trevor 1000)
('101157821349705475', CN with Influencers 1000)
('106421708401759879', Black Star Gaming 1000)
('110733870612047344', Team Coachify 1000)
('107251941920386009', BTS ESPORTS 1000)
('107582178455767077', Pirate Dream 1000)
('98767991892579754', Royal Never Give Up 1000)
('107179740624168899', HEET 1000)
('105521412995449549', Team ESCA Gaming 1000)
('107416483509696259', Eintracht Spandau 1000)
('102787200130988976', ASUS ROG Elite 1000)
('99124844362174905', TCL All-Stars 1000)
('104710682193583854', Topo Centras Iron Wolves 1000)
('110534714934488523', CB Gaming 1000)
('107581287168722290', The Kings 1000)
