"platformgameid","teamid","side","shutdown_collected","blue_max_shutdown","red_max_shutdown"
"ESPORTSTMNT01:3331800","99566404579461230","200","200","1350.0","0.0"
"ESPORTSTMNT01:3331800","98767991853197861","100","0","1350.0","0.0"
"ESPORTSTMNT02:2075577","104367072827489994","200",,"900.0","200.0"
"ESPORTSTMNT02:2075577","99566406493155041","100",,"900.0","200.0"
"ESPORTSTMNT02:3212266","102141671183409133","100","0","1550.0","0.0"
"ESPORTSTMNT02:3212266","110428362822825796","200","0","1550.0","0.0"
"ESPORTSTMNT01:3412584","104841890701948065","100","700","850.0","600.0"
"ESPORTSTMNT01:3412584","98767991935149427","200","1400","850.0","600.0"
"ESPORTSTMNT05:1870393","98767991940181526","200",,"150.0","800.0"
"ESPORTSTMNT05:1870393","98767991866488695","100",,"150.0","800.0"
"ESPORTSTMNT06:1720393","98767991892579754","100",,"1850.0","0.0"
"ESPORTSTMNT06:1720393","99322214684939974","200",,"1850.0","0.0"
"ESPORTSTMNT01:2902763","107599174108436104","100","100","500.0","700.0"
"ESPORTSTMNT01:2902763","107599112065439311","200","500","500.0","700.0"
"ESPORTSTMNT03:3128324","105505619546859895","200","150","1950.0","50.0"
"ESPORTSTMNT03:3128324","100725845018863243","100","50","1950.0","50.0"
"ESPORTSTMNT02:2671116","107603586980602718","200","1450","900.0","750.0"
"ESPORTSTMNT02:2671116","107603548241713732","100","700","900.0","750.0"
"ESPORTSTMNT04:2692260","108352305932141947","100","50","500.0","50.0"
"ESPORTSTMNT04:2692260","105521706535388095","200","400","500.0","50.0"
"ESPORTSTMNT03:3096700","100725845022060229","200","200","250.0","550.0"
"ESPORTSTMNT03:3096700","102747101565183056","100","450","250.0","550.0"
"ESPORTSTMNT02:1723168","105594163014588871","200",,"1550.0","50.0"
"ESPORTSTMNT02:1723168","102787200132955066","100",,"1550.0","50.0"
"ESPORTSTMNT03:2885716","103535282124208038","100","250","1550.0","0.0"
"ESPORTSTMNT03:2885716","101383792891050518","200","2200","1550.0","0.0"
"ESPORTSTMNT03:1952079","105521402545275594","100",,"250.0","650.0"
"ESPORTSTMNT03:1952079","103935530333072898","200",,"250.0","650.0"
"ESPORTSTMNT01:3303516","105550042327365041","200","300","1300.0","150.0"
"ESPORTSTMNT01:3303516","105550051809743868","100","1150","1300.0","150.0"
"ESPORTSTMNT03:2798889","105536738266035235","200","400","1100.0","150.0"
"ESPORTSTMNT03:2798889","107456994699991548","100","0","1100.0","150.0"
"ESPORTSTMNT05:1440421","99566406065437842","200",,"1400.0","300.0"
"ESPORTSTMNT05:1440421","99566406069969565","100",,"1400.0","300.0"
"ESPORTSTMNT03:2544466","107581761958954646","200","1050","900.0","100.0"
"ESPORTSTMNT03:2544466","107581738783262346","100","550","900.0","100.0"
"ESPORTSTMNT03:1757380","105503948999800557","100",,"1800.0","0.0"
"ESPORTSTMNT01:3366489","99566405124618295","100","600","1150.0","0.0"
"ESPORTSTMNT01:3366489","110428362822825796","200","1400","1150.0","0.0"
"ESPORTSTMNT02:2771171","108361545122797332","100","500","600.0","250.0"
"ESPORTSTMNT02:2771171","108361575122450254","200","300","600.0","250.0"
"ESPORTSTMNT03:3165329","107581765633427097","100","1500","600.0","300.0"
"ESPORTSTMNT03:3165329","107582178455767077","200","400","600.0","300.0"
"ESPORTSTMNT02:2881984","105537226118106446","200","500","1700.0","0.0"
"ESPORTSTMNT02:2881984","105536918475957734","100","0","1700.0","0.0"
"ESPORTSTMNT06:1880450","106371141659311452","100",,"1250.0","50.0"
"ESPORTSTMNT06:1880450","102787200124959636","200",,"1250.0","50.0"
"ESPORTSTMNT02:3169528","109828279319224248","200","250","900.0","0.0"
"ESPORTSTMNT02:3169528","107251295460371069","100","0","900.0","0.0"
"ESPORTSTMNT06:1690252","104710678170825211","100",,"550.0","650.0"
"ESPORTSTMNT06:1690252","105543843212923183","200",,"550.0","650.0"
"ESPORTSTMNT01:1893701","102747101565183056","200",,"1300.0","0.0"
"ESPORTSTMNT01:1893701","100205573496804586","100",,"1300.0","0.0"
"ESPORTSTMNT01:1434678","98767991930907107","200",,"1400.0","100.0"
"ESPORTSTMNT01:1434678","103461966951059521","100",,"1400.0","100.0"
"ESPORTSTMNT02:2555451","99566405123587075","200",,"1700.0","150.0"
"ESPORTSTMNT02:2555451","99566405128626825","100",,"1700.0","150.0"
"ESPORTSTMNT06:2767266","107450819235010833","200","200","150.0","1000.0"
"ESPORTSTMNT06:2767266","105515219038427019","100","150","150.0","1000.0"
